version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,android.telephony.SignalStrength,0,0,1,1,0,0,0,0,0,0,0,31,34,1,0,0,0,68,5,
6.0.0,android.telephony.TelephonyManager,1,0,1,1,0,0,1,0,1,0,0,142,108,8,0,0,0,263,8,
6.0.0,android.text.TextUtils,0,0,1,1,0,0,1,0,0,0,1,43,49,6,0,3,0,105,8,
6.0.0,android.util.ArrayMap,0,0,1,1,0,0,1,0,0,0,0,22,34,14,0,0,1,74,7,
6.0.0,android.util.Log,0,0,0,0,0,1,1,0,0,0,0,3,19,13,0,0,1,38,6,
6.0.0,android.util.LogWriter,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,1,8,4,
6.0.0,android.util.PrintWriterPrinter,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,
6.0.0,android.util.Slog,0,0,0,0,0,1,0,0,0,0,0,0,17,11,0,0,1,30,4,
6.0.0,android.util.SparseArray,0,0,0,1,0,0,0,0,0,0,0,18,21,14,0,0,1,55,5,
6.0.0,android.util.SparseIntArray,0,0,0,0,0,1,0,0,0,0,0,8,17,9,0,0,1,36,5,
6.0.0,android.util.SparseLongArray,0,0,0,0,0,1,0,0,0,0,0,8,12,0,0,0,1,22,4,
6.0.0,android.util.TimeUtils,0,0,1,1,0,0,1,0,0,0,0,12,12,3,0,0,1,31,7,
6.0.0,android.util.Xml,0,0,0,0,0,1,1,0,0,0,0,6,6,2,0,0,1,17,6,
6.0.0,android.view.Display,0,0,0,1,0,0,1,0,0,0,0,31,32,7,0,0,0,72,5,
6.0.0,com.android.internal.net.NetworkStatsFactory,0,0,0,1,0,1,1,0,0,0,0,7,9,0,0,0,0,19,5,
6.0.0,com.android.internal.util.ArrayUtils,0,0,0,1,0,0,1,0,0,0,0,19,27,4,0,0,0,52,5,
6.0.0,com.android.internal.util.FastPrintWriter,0,0,0,1,0,0,1,0,0,0,0,25,20,0,0,0,0,47,4,
6.0.0,com.android.internal.util.FastXmlSerializer,0,0,0,1,0,0,1,0,0,0,0,16,17,0,0,0,0,35,4,
6.0.0,com.android.internal.util.JournaledFile,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,10,3,
6.0.0,com.android.internal.util.XmlUtils,1,0,1,1,0,0,0,0,0,0,0,49,56,5,0,0,0,113,6,
6.0.0,com.android.server.NetworkManagementSocketTagger,0,0,0,0,0,1,0,0,0,0,0,7,9,0,0,0,0,17,3,
6.0.0,android.os.BatteryStats.HistoryEventTracker,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,7,5,
6.0.0,android.os.BatteryStats.LevelStepTracker,0,0,1,1,0,0,0,0,0,0,0,8,14,0,0,0,1,25,5,
6.0.0,com.android.internal.os.AtomicFile,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,16,3,
6.0.0,android.os.BatteryStats.HistoryStepDetails,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,6,4,
6.0.0,android.os.BatteryStats.HistoryItem,0,0,1,1,0,1,0,0,0,0,0,6,10,0,0,0,1,20,6,
6.0.0,com.android.internal.os.KernelCpuSpeedReader,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,
6.0.0,com.android.internal.os.KernelUidCpuTimeReader,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,
6.0.0,com.android.internal.os.KernelWakelockReader,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,3,
6.0.0,com.android.internal.os.PowerProfile,0,0,1,1,0,1,0,0,0,0,0,7,11,1,0,0,0,22,6,
6.0.0,android.net.NetworkStats.Entry,0,0,0,0,0,1,0,0,0,0,0,4,8,0,0,1,0,14,4,
6.0.0,com.android.internal.os.KernelWakelockStats,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,1,
6.0.0,android.os.BatteryStats.PackageChange,0,1,0,0,0,0,0,0,0,0,0,,,,,0,1,2,2,
6.0.0,android.os.BatteryStats.DailyItem,0,1,0,0,0,0,0,0,0,0,0,,,,,0,1,2,2,
6.0.0,android.os.BatteryStats.Uid.Pid,0,1,0,0,0,0,0,0,0,0,0,,,,,0,1,2,2,
6.0.0,android.os.BatteryStats.HistoryTag,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,6,4,
